Mecha Leo,,,,Giga Leo,,,,Alpha Leo,,,,
Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,
211,361.46307829181495,220.68913107947805,,211,439.2642257093041,171.05690283721665,,211,252.25813578044014,214.24700484323222,,
212,365.0422720354227,235.92382731423828,,212,443.23425398217154,166.59812947537628,,212,226.11221441834178,229.11762331476547,,
213,363.160016799664,241.25850482990342,,213,453.1388354186718,175.52999679178697,,213,219.80804179918218,254.38194759957594,,
214,359.98050836296585,253.21295930462267,,214,455.7775938189845,188.2123147272154,,214,212.10445194152277,262.10723027055633,,
215,361.63313609467457,261.6568047337278,,215,435.8343195266272,192.92307692307693,,215,212.8533275899203,259.5172661354009,,
216,365.53846153846155,266.3431952662722,,216,438.9585798816568,206.20118343195267,,216,211.46237278062551,259.66280365500336,,
217,378.79088614321773,281.9734954165006,,217,433.46753533568904,208.62470553592462,,217,210.03786496350364,260.34124087591243,,
218,403.30621290661855,297.02666967170006,,218,426.7585389655653,233.5262093963474,,218,189.71830519695465,269.8372227739159,,
219,456.0966863985847,295.9661835748792,,219,324.9018209123334,282.39853576121646,,219,176.85688450472668,291.47373612823674,,
220,462.6821686551416,290.9582826069312,,220,251.64210367691376,310.15958408679927,,220,150.90158353127472,290.9205067300079,,
221,469.9764317345943,263.2402612024319,,221,256.73870378822454,312.0158223033622,,221,135.0824812542604,297.5264144512611,,
222,428.591009813232,243.71953149730928,,222,215.70389170896783,310.15320719889246,,222,133.46106714322184,302.83771593906897,,
223,384.42100578549173,248.76288384512682,,223,183.90759738328873,275.5749330954505,,223,120.44235860409145,280.51456077015644,,
224,360.34072654253373,251.57940854326395,,224,175.73964497041422,271.0295857988166,,224,121.06508875739645,279.6213017751479,,
225,361.19279875080366,251.2510333425186,,225,172.6153846153846,268.6863905325444,,225,121.06508875739645,278.05917159763317,,
226,362.25207656193567,251.3197905381004,,226,184.33136094674558,253.06508875739647,,226,119.50295857988166,279.6213017751479,,
227,362.64347285168395,252.18874966675554,,227,197.8164297605327,228.0680624919964,,227,122.84161931818181,278.3660827020202,,
228,361.44890137966274,251.75353432123998,,228,194.79905623279592,228.79577926333724,,228,115.01688693098384,237.6555066079295,,
229,357.44865796601823,252.8663711729459,,229,210.89704443139559,226.98251451686562,,229,110.59562245491564,202.9138307155323,,
230,358.53405468881056,253.08891125650058,,230,225.1596008158508,227.52374708624708,,230,168.05828035119586,150.43513472600665,,
231,356.8183234908136,251.75853018372703,,231,233.27991490870414,209.99225905572297,,231,234.33348457350272,107.05573200241983,,
232,349.68398927303036,265.7647314633616,,232,253.0113797378675,185.201912858661,,232,257.40575787401576,84.42445866141732,,
233,299.6979352200013,282.22178243947485,,233,278.8508636246455,155.7959525650941,,233,256.18934911242604,85.13609467455622,,
